Ticker,Company,n_months_shorted,total_pnl_book,avg_trade_return,best_month,worst_month,hit_rate,n_stops_triggered,avg_weight,avg_mktCap_AUDm,avg_short_pct,first_date,last_date
WTC,WISETECH GLOBAL LTD ORDINARY,4,0.0014087981138257435,0.028482837047778986,0.18718064794952105,-0.17673695963148406,0.75,0,-0.016600676113735297,26188.543497,1.9749999999999999,2023-07-28,2023-12-29
NEC,NINE ENTERTAINMENT ORDINARY,4,0.0013881312869589487,0.0261058175134945,0.12227071451483362,-0.038888919059141935,0.5,0,-0.017392619479733817,1758.31215,2.8475,2026-01-30,2026-04-24
PAC,PACIFIC GRP LTD ORDINARY,3,0.0012651297491367084,0.030747636688437902,0.06545451746794018,-0.011673099080631077,0.6666666666666666,0,-0.017241379310344827,445.847123,0.05000000000000001,2025-09-26,2025-11-28
CCP,CREDIT CORP GROUP ORDINARY,6,0.0012588757084680535,0.01897273620142557,0.15272527169400263,-0.11504965766422992,0.5,0,-0.016622672964712423,1103.36607,2.2916666666666665,2024-01-25,2024-06-28
CTD,CORP TRAVEL LIMITED ORDINARY,1,0.0011620450642375617,0.07601116539271524,0.07601116539271524,0.07601116539271524,1.0,0,-0.016666666666666666,1958.507587,7.7,2024-11-29,2024-11-29
MHJ,MICHAEL HILL INT ORDINARY,1,0.0010724948911537218,0.0684931652253774,0.0684931652253774,0.0684931652253774,1.0,0,-0.017241379310344827,170.104791,0.0,2025-09-26,2025-09-26
GWA,GWA GROUP LTD ORDINARY,3,0.0010504217537253462,0.0272511737615444,0.04132237562438856,0.004166575026985586,1.0,0,-0.016578679262758175,612.62355,1.4900000000000002,2024-07-26,2024-10-25
WEB,WEB TRAVEL GROUP LTD ORDINARY,1,0.000987668362397121,0.06653623164468592,0.06653623164468592,0.06653623164468592,1.0,0,-0.01639344262295082,1724.131781,4.49,2025-01-31,2025-01-31
M7T,MACH7 TECH LIMITED ORDINARY,15,0.0009765135807634647,0.010316394715763112,0.27272728504228205,-0.3277310646571121,0.5333333333333333,0,-0.016691769425095735,126.51818646666668,0.10800000000000001,2023-09-29,2026-04-24
DRR,DETERRA ORDINARY,1,0.00085352632887861,0.05750004127117814,0.05750004127117814,0.05750004127117814,1.0,0,-0.016666666666666666,2123.933584,1.53,2024-09-27,2024-09-27
PBH,POINTSBET HOLDINGS ORDINARY,2,0.0007252048367951456,0.02840720906071348,0.07541905071619492,-0.018604632594767967,0.5,0,-0.01639344262295082,439.17009699999994,2.125,2023-06-30,2025-03-28
BKY,BERKELEY ENERGIA LTD ORDINARY,2,0.0007140958393018855,0.02806838463716904,0.0704224701794175,-0.014285700905079413,0.5,0,-0.01639344262295082,151.57098,0.16,2024-07-26,2024-08-30
JMS,JUPITER MINES. ORDINARY,9,0.0006910852634207521,0.010592368285289212,0.2380953063969351,-0.4137931221258686,0.6666666666666666,0,-0.016454159077109898,317.553498,0.1522222222222222,2023-10-27,2025-05-30
RRL,REGIS RESOURCES ORDINARY,1,0.0006568416526916677,0.0456989606999616,0.0456989606999616,0.0456989606999616,1.0,0,-0.016666666666666666,1646.63902,2.75,2024-05-31,2024-05-31
BPT,BEACH ENERGY LIMITED ORDINARY,3,0.0005749698651282498,0.017500355258823652,0.09253729824267476,-0.05345904298893811,0.6666666666666666,0,-0.016484517304189438,3648.0368,3.106666666666667,2024-04-26,2024-06-28
PLS,PILBARA MIN LTD ORDINARY,8,0.00044105179753857037,0.010118243728766088,0.12773719102714287,-0.10955717277577692,0.5,0,-0.016778631247471275,9176.932026125,16.22,2024-07-26,2026-01-30
OMH,OM HOLDINGS LIMITED ORDINARY,3,0.00042307884902057045,0.014364833364913713,0.10101012019235789,-0.04545455516556318,0.3333333333333333,0,-0.016484517304189438,342.29213,0.01,2023-10-27,2025-03-28
MMS,MCMILLAN SHAKESPEARE ORDINARY,2,0.00033400283846343455,0.016475548111596294,0.07391814056762802,-0.04096704434443543,0.5,0,-0.01639344262295082,1044.64536,3.55,2025-02-28,2025-03-28
HUM,HUMM GROUP LIMITED ORDINARY,1,0.0003068105944263384,0.024390286609615508,0.024390286609615508,0.024390286609615508,1.0,0,-0.01694915254237288,245.022261,1.81,2024-02-23,2024-02-23
CTM,CENTAURUS METALS LTD ORDINARY,8,0.00023014763167577895,0.006895600659606815,0.47663553744614273,-0.29999990065892934,0.5,0,-0.016600676113735297,280.7121675,0.1875,2023-06-30,2024-07-26
MVF,MONASH IVF GROUP LTD ORDINARY,9,0.0002274843691127876,0.0077980703896152566,0.12422364743345138,-0.16058393966593454,0.7777777777777778,0,-0.017149442694146835,330.50595988888887,2.427777777777778,2025-04-24,2026-04-24
ELD,ELDERS LIMITED ORDINARY,4,0.00015649020320616025,0.008674937137355482,0.10802448952018306,-0.10790279969162087,0.5,0,-0.01639344262295082,1330.0545,6.297499999999999,2023-06-30,2023-09-29
AAC,AUSTRALIAN AGRICULT. ORDINARY,2,8.991115473229428e-05,0.00874125072557197,0.01748250145114394,-0.0,0.5,0,-0.016817410966647822,854.1566755,0.22999999999999998,2024-08-30,2025-10-31
APE,EAGERS AUTOMOTIVE ORDINARY,5,-0.00010471081080250981,0.00376134238480712,0.17019386145418136,-0.12218210311928024,0.4,0,-0.017077841579641585,4958.887847399999,2.754,2024-08-30,2026-04-24
KGN,KOGAN.COM LTD ORDINARY,15,-0.00011334070179431902,0.006276591973902187,0.24285715198181923,-0.2364730881042525,0.4666666666666667,0,-0.01678534586555014,443.90564106666665,1.5093333333333334,2024-04-26,2025-12-24
NUF,NUFARM LIMITED ORDINARY,3,-0.000226513810949494,0.0011278787757696973,0.08646616979399824,-0.045267445297900055,0.3333333333333333,0,-0.01695239950646146,2398.29385,3.4599999999999995,2025-05-30,2025-07-25
FWD,FLEETWOOD LTD ORDINARY,5,-0.00024274490022419015,0.0029490478350796766,0.12909902780321203,-0.09677426027706493,0.4,0,-0.01661387422432157,169.713,0.42800000000000005,2024-01-25,2024-06-28
PPC,PEET LIMITED ORDINARY,2,-0.0002988644953500749,-0.002618252049859937,0.013513456744515762,-0.018749960844235636,0.5,0,-0.016530054644808743,684.381875,0.0,2025-03-28,2025-05-30
QAN,QANTAS AIRWAYS ORDINARY,6,-0.00031625578526345825,0.0033201125176996102,0.07272734534942082,-0.0839483214467398,0.5,0,-0.017143970387687512,16397.97439,0.2783333333333333,2025-07-25,2025-12-24
REG,REGIS HEALTHCARE LTD ORDINARY,1,-0.0003246254960361087,-0.013513693719741093,-0.013513693719741093,-0.013513693719741093,0.0,0,-0.01639344262295082,668.016035,0.18,2023-06-30,2023-06-30
AGL,AGL ENERGY LIMITED. ORDINARY,2,-0.0003879818531421108,-0.0054903372094917136,0.003064242938474959,-0.014044917357458386,0.5,0,-0.01667129758266185,7605.122246,2.545,2025-03-28,2025-06-27
EDE,EDEN INV LTD ORDINARY,5,-0.0004282165867536781,2.2204460492503132e-17,0.33333333333333337,-0.33333333333333326,0.2,0,-0.01661387422432157,78.77045940000001,0.0,2024-02-23,2024-12-27
NXT,NEXTDC LIMITED ORDINARY,1,-0.00044286987147145563,-0.019397991006882886,-0.019397991006882886,-0.019397991006882886,0.0,0,-0.017241379310344827,7908.854721,9.24,2026-04-24,2026-04-24
HDN,HOMECO DAILY NEEDS ORDINARY UNITS,1,-0.0005233701072499046,-0.02459037478928283,-0.02459037478928283,-0.02459037478928283,0.0,0,-0.01694915254237288,2447.754563,0.87,2023-12-29,2023-12-29
AZJ,AURIZON HOLDINGS LTD ORDINARY,2,-0.0006956755472328733,-0.01491226335407797,0.0052630829527372525,-0.03508760966089319,0.5,0,-0.01667129758266185,7215.55968,2.42,2023-10-27,2023-12-29
SBM,ST BARBARA LIMITED ORDINARY,13,-0.0007050123705835995,0.0017524083212229287,0.23493975514267806,-0.4857142565201735,0.6153846153846154,0,-0.016629693040286022,262.6005299230769,1.0146153846153847,2023-07-28,2026-04-24
RHC,RAMSAY HEALTH CARE ORDINARY,4,-0.0007668578182183543,-0.004003113973587102,0.08764518666636745,-0.22442247895120682,0.75,0,-0.017392619479733817,7906.236,4.7,2026-01-30,2026-04-24
SUL,SUPER RET REP LTD ORDINARY,3,-0.0007942863173384127,-0.009428662574474686,0.1610608262800317,-0.25735293373321655,0.6666666666666666,0,-0.017342206089937487,3485.1573213333336,2.436666666666667,2025-07-25,2026-03-27
AFG,AUST FINANCE GRP ORDINARY,11,-0.000836101253297729,0.0013980087579523132,0.08588950153625219,-0.13475185869453443,0.5454545454545454,0,-0.016643512086690748,397.27459045454543,1.0736363636363637,2024-01-25,2024-12-27
WGX,WESTGOLD RESOURCES. ORDINARY,10,-0.0009213628552734473,0.0001998327368448294,0.16030536391926042,-0.1668995800373314,0.6,0,-0.01653098082800778,1217.2104154,4.554,2024-03-28,2025-06-27
HZN,HORIZON OIL LIMITED ORDINARY,4,-0.0009776862704616103,-0.008276973092852719,0.050000029549680636,-0.10810796086253305,0.5,0,-0.016668982124664257,194.369015,0.015,2024-07-26,2024-12-27
SGM,SIMS LIMITED ORDINARY,1,-0.0011364355900934638,-0.06303410945723975,-0.06303410945723975,-0.06303410945723975,0.0,0,-0.01639344262295082,2291.74704,3.42,2025-01-31,2025-01-31
ALD,AMPOL LIMITED ORDINARY,1,-0.0011643047302894753,-0.06007690808803856,-0.06007690808803856,-0.06007690808803856,0.0,0,-0.017543859649122806,7608.986021,1.26,2026-03-27,2026-03-27
NIC,NICKEL INDUSTRIES ORDINARY,1,-0.001199698605511468,-0.06569345479222655,-0.06569345479222655,-0.06569345479222655,0.0,0,-0.016666666666666666,2189.018615,2.69,2025-05-30,2025-05-30
ANZ,ANZ GROUP HOLDINGS ORDINARY,3,-0.0013215535570936222,-0.02057799454835485,0.07410977494034898,-0.07338698338628036,0.3333333333333333,0,-0.01657559198542805,83748.34369333333,0.37666666666666665,2023-06-30,2024-12-27
88E,88 ENERGY LTD ORDINARY,11,-0.0013336404074966637,-0.00223301599219578,0.5999999940395355,-1.0,0.36363636363636365,0,-0.01659383498783332,96.58621018181817,0.02909090909090909,2023-06-30,2024-12-27
WHC,WHITEHAVEN COAL ORDINARY,2,-0.0013427854733403092,-0.0347437693405207,0.034737795331833965,-0.10422533401287537,0.5,0,-0.017105263157894735,6422.6023509999995,2.175,2024-03-28,2026-01-30
VVA,VIVA LEISURE LIMITED ORDINARY,5,-0.0014151706962751446,-0.01076152470344205,0.12852667036875653,-0.12323949071439366,0.4,0,-0.01650273224043716,121.22493359999999,0.0,2023-08-25,2025-05-30
PPE,PEOPLEIN LIMITED ORDINARY,5,-0.0014638814355679981,-0.010953996710922875,0.04827589665525056,-0.11034480093775789,0.6,0,-0.016954901265677245,87.8145256,0.082,2025-01-31,2025-11-28
IAG,INSURANCE AUSTRALIA ORDINARY,4,-0.0014754088119923285,-0.015441636165240608,0.1202932558209916,-0.09309314963980886,0.25,0,-0.017392619479733817,18856.74,1.1875,2026-01-30,2026-04-24
AMA,AMA GROUP LIMITED ORDINARY,8,-0.0014992006053609556,-0.005920779942090532,0.6185946208908153,-0.4000002269595404,0.375,0,-0.01660305145426731,142.767177125,3.5325,2023-06-30,2026-04-24
BOQ,BANK OF QUEENSLAND. ORDINARY,6,-0.0016749743280116856,-0.010412502105512755,0.04643446386209149,-0.08378872182997266,0.5,0,-0.016577135624093114,4436.3028515,4.948333333333333,2023-06-30,2024-12-27
DTL,DATA#3 LIMITED ORDINARY,1,-0.0017047484285567516,-0.0977011926035003,-0.0977011926035003,-0.0977011926035003,0.0,0,-0.01639344262295082,991.77912,3.51,2025-01-31,2025-01-31
IGO,IGO LIMITED ORDINARY,5,-0.0017769699103347895,-0.014243563094386392,0.20283971529435407,-0.1263735677118898,0.4,0,-0.016559229415578403,3612.1388429999997,7.144,2025-01-31,2025-06-27
S32,SOUTH32 LIMITED ORDINARY,6,-0.0017967295452267539,-0.011590506467768547,0.1748634219017322,-0.18333319027304484,0.5,0,-0.016622672964712423,10396.940035,1.4416666666666667,2024-01-25,2024-06-28
TUA,TUAS LIMITED ORDINARY,3,-0.0018796667757135545,-0.031982918017261906,0.0170697523207487,-0.09511571053974954,0.3333333333333333,0,-0.016767162866654105,1407.7216203333335,0.17333333333333334,2023-08-25,2025-10-31
IDX,INTEGRAL DIAGNOSTICS ORDINARY,2,-0.0019124313295305157,-0.05101630110690725,-0.0017564528460483064,-0.10027614936776619,0.0,0,-0.016807909604519774,450.171486,4.525,2024-01-25,2024-02-23
PRN,PERENTI LIMITED ORDINARY,2,-0.0019406658952684662,-0.05002754006333182,0.01047119438535471,-0.11052627451201835,0.5,0,-0.017392619479733817,2622.26576,0.74,2026-03-27,2026-04-24
MFG,MAGELLAN FIN GRP LTD ORDINARY,5,-0.001970911203093434,-0.017074853686409798,0.21141022698876533,-0.18052248682038186,0.4,0,-0.016559229415578403,1768.2437989999999,2.682,2023-07-28,2025-01-31
WOW,WOOLWORTHS GROUP LTD ORDINARY,4,-0.0020287395887530935,-0.022548324592416208,0.07020321695066645,-0.17757991189022615,0.5,0,-0.017392619479733817,35875.918,2.13,2026-01-30,2026-04-24
SIG,SIGMA HEALTH LTD ORDINARY,10,-0.0021011401596404524,-0.00640048227063178,0.08360122334852815,-0.09859151819740153,0.5,0,-0.01678628801742502,4519.322835,2.459,2025-01-31,2025-10-31
RWC,RELIANCE WORLDWIDE ORDINARY,3,-0.002152420018752318,-0.03501096084162958,-0.007873996367294467,-0.06109326804803783,0.0,0,-0.01724479716728017,2019.608011333333,2.8766666666666665,2025-12-24,2026-04-24
PNI,PINNACLE INVESTMENT ORDINARY,4,-0.002272583918681075,-0.027253013446125296,0.2103341843062878,-0.1695805284482126,0.25,0,-0.016600676113735297,4682.768108,1.825,2025-01-31,2025-06-27
NCK,NICK SCALI LIMITED ORDINARY,4,-0.0022994964943103945,-0.02846568510240205,0.027586198763505765,-0.05342015543945022,0.25,0,-0.016668982124664257,1103.464834,4.1775,2024-07-26,2024-12-27
BEN,BENDIGO AND ADELAIDE ORDINARY,6,-0.0023973769251569407,-0.017306569026690772,0.025869097045486344,-0.0901706147532011,0.5,0,-0.016622672964712423,6459.1862599999995,2.3916666666666666,2024-07-26,2024-12-27
IFL,INSIGNIA FINANCIAL ORDINARY,4,-0.002503377554399759,-0.031379996523887815,0.039682502138671416,-0.08219168167381619,0.25,0,-0.016668982124664257,1759.33676225,3.72,2024-01-25,2025-01-31
RIC,RIDLEY CORPORATION ORDINARY,4,-0.0025039362224550748,-0.02917820198011742,0.06588285374290093,-0.16000004664781065,0.25,0,-0.017392619479733817,993.360646,0.6775,2026-01-30,2026-04-24
MSB,MESOBLAST LIMITED ORDINARY,19,-0.002658609552111192,-0.001284383187338858,0.340694049252915,-0.9279279975900392,0.6842105263157895,0,-0.01682493659219239,1518.1512330526316,5.720526315789473,2023-08-25,2026-04-24
SLX,SILEX SYSTEMS ORDINARY,26,-0.0028354148479039715,-0.0003787226922227899,0.36774190372780535,-0.2985074711844451,0.5,0,-0.016705052906679795,1166.0896615769232,6.433461538461539,2023-06-30,2026-04-24
SRV,SERVCORP LIMITED ORDINARY,5,-0.002871854360775388,-0.02869557092409456,0.04705878820061893,-0.11070210746947251,0.2,0,-0.01666851903306474,400.2065,0.422,2024-08-30,2024-12-27
BLX,BEACON LIGHTING GRP ORDINARY,3,-0.002940481295005541,-0.05350132479331778,0.02972965706559727,-0.18902432247914658,0.3333333333333333,0,-0.01639344262295082,367.467439,0.10333333333333333,2023-06-30,2023-09-29
BBN,BABY BUNTING GRP LTD ORDINARY,20,-0.0031032867825552196,-0.004610795651263183,0.30000001192092896,-0.4071637688436631,0.5,0,-0.01674494049314969,244.64380379999997,1.7150000000000003,2023-06-30,2026-04-24
A2M,THE A2 MILK COMPANY ORDINARY,1,-0.0031303742073798195,-0.17840361669694782,-0.17840361669694782,-0.17840361669694782,0.0,0,-0.01694915254237288,3296.38108,4.44,2023-12-29,2023-12-29
BGL,BELLEVUE GOLD LTD ORDINARY,7,-0.0031336857888810393,-0.01913185669444823,0.2156862732003153,-0.32280705511551755,0.42857142857142855,0,-0.016589925773032192,1861.5422864285715,4.3185714285714285,2024-01-25,2025-03-28
OCC,ORTHOCELL LIMITED ORDINARY,22,-0.003220426436829498,-0.003107311015780752,0.1772727711141593,-0.2301254929603176,0.5,0,-0.016842317898683627,197.04561363636364,0.21181818181818182,2023-06-30,2026-04-24
VEA,VIVA ENERGY GROUP ORDINARY,2,-0.0032861075770543617,-0.08736560440758778,-0.008064508376086854,-0.1666667004390887,0.0,0,-0.017543859649122806,3326.618756,1.66,2026-01-30,2026-03-27
TPW,TEMPLE & WEBSTER LTD ORDINARY,2,-0.0034583524623171325,-0.09759497876203882,-0.08789381667169738,-0.10729614085238026,0.0,0,-0.01667129758266185,1085.526393,2.025,2024-02-23,2024-08-30
TPG,TPG TELECOM LIMITED. ORDINARY,4,-0.003561288431903304,-0.04708409816034334,0.09073351597278678,-0.12114977120260262,0.25,0,-0.016600676113735297,9042.432634,0.7375,2023-06-30,2023-12-29
AMI,AURELIA METALS LTD ORDINARY,1,-0.0036540800448738,-0.20930226110909267,-0.20930226110909267,-0.20930226110909267,0.0,0,-0.01694915254237288,321.173896,0.03,2025-08-29,2025-08-29
PPS,PRAEMIUM LIMITED ORDINARY,6,-0.0038236840156345092,-0.03147789951498612,0.07291661622365375,-0.1348315338355528,0.3333333333333333,0,-0.016622672964712423,195.151758,0.5866666666666667,2024-01-25,2024-06-28
CBA,COMMONWEALTH BANK. ORDINARY,10,-0.003881881302419163,-0.01653912874279865,0.062134144104210254,-0.17017316770693047,0.6,0,-0.01687600676197781,261108.28360000002,1.192,2025-01-31,2026-04-24
ARB,ARB CORPORATION. ORDINARY,10,-0.00398250197864131,-0.01717317094132619,0.11861916552624907,-0.16410251679595045,0.4,0,-0.01672691648063159,2902.3773671999998,4.369,2023-07-28,2025-08-29
EML,EML PAYMENTS LTD ORDINARY,13,-0.003987380837910746,-0.016226412381042908,0.28506786622495583,-0.5161290173724087,0.6153846153846154,0,-0.016764645806817736,312.9340846153846,2.576923076923077,2023-07-28,2026-04-24
HUB,HUB24 LTD ORDINARY,3,-0.004091040301623531,-0.07689602459455025,0.007692320577729284,-0.19379284040602474,0.3333333333333333,0,-0.01639344262295082,2040.8861449999997,0.6133333333333334,2023-07-28,2023-09-29
PPT,PERPETUAL LIMITED ORDINARY,5,-0.00414179249027391,-0.04258488118867545,0.17306731922957397,-0.16497171190679105,0.4,0,-0.016559229415578403,2214.09513,3.008,2025-02-28,2025-06-27
LOV,LOVISA HOLDINGS LTD ORDINARY,13,-0.004176031228752557,-0.013521915432730795,0.27380986921295913,-0.31524392665469025,0.5384615384615384,0,-0.01706754702041253,3069.409107076923,2.9376923076923074,2023-06-30,2026-04-24
SFR,SANDFIRE RESOURCES ORDINARY,4,-0.004434290479137522,-0.05958878164404574,0.017543880996655048,-0.13318405422462765,0.25,0,-0.016668982124664257,4424.39864775,3.685,2023-08-25,2025-12-24
SLC,SUPERLOOP LIMITED ORDINARY,2,-0.004822722259720941,-0.14080456738302716,-0.08333325054910778,-0.19827588421694653,0.0,0,-0.01639344262295082,275.825125,0.43,2023-06-30,2023-07-28
AGI,AINSWORTH GAME TECH. ORDINARY,5,-0.004870316499559567,-0.05048240807540938,0.075630276513447,-0.3270142613865499,0.4,0,-0.01730392609226163,361.5616392,0.16599999999999998,2025-08-29,2026-04-24
TLG,TALGA GROUP LTD ORDINARY,22,-0.0049746653358320615,-0.00650678671549574,0.284482752419255,-0.6266667048136394,0.6818181818181818,0,-0.016722302985010058,319.43294754545457,1.9186363636363637,2023-08-25,2025-12-24
ANG,AUSTIN ENGINEERING ORDINARY,7,-0.005146352973527712,-0.03825471354240157,0.1621093424855644,-0.2222221488307996,0.5714285714285714,0,-0.016632995573026808,158.84974185714285,0.19571428571428573,2023-06-30,2026-02-27
MAD,MADER GROUP LIMITED ORDINARY,10,-0.0052675824617636514,-0.02509078800963096,0.14550549990318684,-0.16093537634522814,0.3,0,-0.01687108168616442,1271.17125,0.647,2023-08-25,2025-12-24
BRN,BRAINCHIP LTD ORDINARY,31,-0.0053487810320073615,-0.0038914852035359937,0.4153846012770066,-1.483870887111303,0.6451612903225806,0,-0.01668091999765518,338.61214154838706,4.072258064516129,2023-06-30,2025-12-24
SVL,SILVER MINES LIMITED ORDINARY,11,-0.005428699346316273,-0.023776506624542813,0.2666666477445566,-0.2234043194029136,0.36363636363636365,0,-0.01659383498783332,169.93552145454544,0.6454545454545454,2024-08-30,2025-06-27
PET,PHOSLOCK ENV TEC LTD ORDINARY,3,-0.005464671249461077,-0.10482652053391368,0.03846154397232282,-0.3529411055740639,0.3333333333333333,0,-0.01639344262295082,10.578913,0.0,2023-06-30,2023-09-29
TYR,TYRO PAYMENTS ORDINARY,7,-0.005675941887420838,-0.04296059815657392,0.32841327423133326,-0.18181814487315395,0.2857142857142857,0,-0.016511861760541948,592.097631,0.8214285714285714,2023-06-30,2023-12-29
CKF,COLLINS FOODS LTD ORDINARY,4,-0.0058029317523131466,-0.07999992171365322,-0.006838846136217214,-0.18275416495095032,0.0,0,-0.016951587765439313,971.198222,2.6950000000000003,2025-05-30,2025-09-26
